,B_mag,Proton_Temp,Proton_dens,Plasma_speed,AP_ratio,Flow_pres,E,Alfven_MN,Kp,R,DST,AE_index,Proton_flux1,Proton_flux2,Proton_flux4,Proton_flux10,Proton_flux30,Proton_flux60,Ap,PC_index,AL_index,AU_index,Mag_MN
1981.81,5.16,103181.5,7.12,423.41,0.06,2.49,-0.02,7.54,25.85,213.4,-23.58,240.08,224.24,94.23,30.25,8.55,2.12,1.2,16.5,1.12,-137.57,101.51,4.99
1981.8120000000001,5.16,103181.5,7.11,423.46,0.06,2.49,-0.01,7.53,25.86,213.06,-23.78,240.51,223.13,93.77,30.11,8.51,2.11,1.19,16.5,1.12,-138.04,101.48,4.99
1981.815,5.17,103181.5,7.1,423.41,0.06,2.49,-0.01,7.51,25.88,212.67,-23.93,240.68,222.15,93.32,29.96,8.47,2.1,1.19,16.51,1.13,-138.32,101.38,4.99
1981.818,5.17,103181.5,7.13,423.31,0.06,2.5,-0.02,7.51,25.86,212.22,-23.93,239.93,221.06,92.86,29.81,8.43,2.1,1.18,16.48,1.12,-137.86,101.09,4.99
1981.8210000000001,5.18,103475.57,7.13,423.39,0.06,2.5,-0.02,7.51,25.85,211.66,-23.91,239.37,219.96,92.4,29.67,8.39,2.09,1.18,16.45,1.12,-137.52,100.86,4.99
1981.8229999999999,5.18,103859.16,7.14,423.63,0.06,2.51,-0.03,7.52,25.89,211.22,-23.87,239.3,218.87,91.94,29.52,8.35,2.08,1.18,16.46,1.12,-137.51,100.8,4.99
1981.826,5.17,103997.39,7.13,423.84,0.06,2.5,-0.03,7.52,25.89,211.03,-23.84,238.68,217.79,91.49,29.38,8.31,2.07,1.17,16.44,1.12,-137.1,100.59,4.99
1981.829,5.17,103877.08,7.12,423.81,0.06,2.5,-0.03,7.52,25.9,210.99,-23.82,238.4,216.7,91.03,29.23,8.27,2.06,1.17,16.42,1.12,-136.96,100.46,5.0
1981.832,5.17,103673.17,7.13,423.59,0.06,2.5,-0.04,7.53,25.83,210.97,-23.74,237.51,215.63,90.58,29.09,8.23,2.05,1.16,16.35,1.11,-136.4,100.13,5.0
1981.8339999999998,5.17,103516.77,7.13,423.35,0.06,2.5,-0.04,7.53,25.79,211.03,-23.67,236.92,214.56,90.13,28.95,8.19,2.04,1.16,16.31,1.11,-136.06,99.87,5.0
1981.8370000000002,5.18,103232.6,7.15,422.9,0.06,2.5,-0.04,7.52,25.73,211.48,-23.58,236.11,213.5,89.69,28.8,8.15,2.03,1.15,16.25,1.1,-135.58,99.54,5.0
1981.84,5.19,103107.17,7.15,422.55,0.06,2.5,-0.04,7.51,25.7,211.89,-23.5,235.4,212.44,89.25,28.66,8.11,2.02,1.15,16.21,1.1,-135.14,99.27,5.0
1981.842,5.18,103107.17,7.18,422.16,0.06,2.5,-0.04,7.54,25.65,212.33,-23.38,234.69,211.39,88.81,28.52,8.07,2.01,1.14,16.16,1.1,-134.73,98.96,5.0
1981.845,5.18,103107.17,7.19,421.77,0.06,2.5,-0.04,7.54,25.64,212.84,-23.37,234.76,210.35,88.37,28.38,8.03,2.0,1.14,16.13,1.1,-134.88,98.89,5.0
1981.848,5.18,103107.17,7.21,421.51,0.06,2.5,-0.04,7.54,25.61,213.12,-23.3,234.28,209.35,87.94,28.24,7.99,1.99,1.13,16.1,1.1,-134.68,98.61,5.0
1981.851,5.2,103107.17,7.22,421.11,0.06,2.5,-0.03,7.54,25.65,213.35,-23.42,234.93,208.37,87.53,28.11,7.95,1.98,1.13,16.11,1.1,-135.24,98.7,5.0
1981.8529999999998,5.2,103031.95,7.28,421.16,0.06,2.52,-0.04,7.53,25.71,213.53,-23.45,234.85,207.69,87.15,27.98,7.91,1.98,1.12,16.17,1.1,-135.27,98.59,5.0
1981.856,5.21,102883.33,7.27,421.08,0.06,2.52,-0.04,7.53,25.64,213.37,-23.45,233.98,206.81,86.74,27.84,7.88,1.97,1.12,16.11,1.1,-134.81,98.18,5.0
1981.859,5.21,102704.06,7.27,420.9,0.06,2.52,-0.04,7.53,25.65,213.29,-23.4,233.64,205.94,86.37,27.72,7.84,1.96,1.11,16.09,1.1,-134.63,98.02,5.0
1981.862,5.22,102854.56,7.33,421.04,0.06,2.55,-0.04,7.53,25.72,213.22,-23.43,234.45,211.32,87.64,27.79,7.81,1.95,1.11,16.16,1.1,-135.09,98.37,5.0
1981.864,5.22,103324.29,7.32,421.74,0.06,2.55,-0.03,7.51,25.78,213.24,-23.72,234.86,211.12,87.41,27.68,7.78,1.94,1.1,16.28,1.11,-135.39,98.48,5.0
1981.8670000000002,5.24,103324.29,7.29,422.26,0.06,2.54,-0.04,7.49,25.7,213.24,-23.83,233.95,211.12,87.41,27.68,7.78,1.94,1.1,16.22,1.1,-134.94,98.03,5.0
1981.87,5.25,103427.36,7.28,422.72,0.06,2.54,-0.04,7.48,25.75,213.38,-23.92,234.52,210.11,86.98,27.54,7.74,1.93,1.1,16.28,1.1,-135.59,97.95,4.99
